strategy,dim,avg_overhead_pct,max_overhead_pct,avg_improve_pct,avg_cost_benefit
best1bin,1000,0.57,5.99,1.6049,0.2966
best1bin,2000,-1.18,5.84,2.1061,0.0473
best1bin,3000,1.28,4.75,2.3727,0.4328
best1bin,4000,0.79,3.05,2.8628,1.7119
best1bin,5000,5.41,21.27,3.2923,5.8738
current-to-best1bin,1000,-0.34,2.42,1.0163,1.0072
current-to-best1bin,2000,-1.74,3.07,1.4829,1.0182
current-to-best1bin,3000,-0.97,2.62,1.7341,0.8234
current-to-best1bin,4000,-1.12,9.37,2.305,3.0969
current-to-best1bin,5000,0.9,5.25,2.7339,1.6643
rand1bin,1000,2.44,10.48,1.2638,0.7607
rand1bin,2000,0.01,6.33,1.8641,0.4738
rand1bin,3000,0.79,4.26,2.3715,0.4104
rand1bin,4000,2.9,5.98,3.0291,2.3276
rand1bin,5000,2.42,10.7,3.1198,0.5403
sobol,1000,0.19,5.9,0.2806,0.1999
sobol,2000,-0.33,4.26,0.2787,0.1342
sobol,3000,4.15,15.75,0.3773,0.0647
sobol,4000,-5.15,8.6,0.2408,0.1219
sobol,5000,-3.1,10.23,0.2069,0.0482
